temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,temperature_1,temperature_2,temperature_3,temperature_4
495.1,436.0,0.24944714558497877,477.8,419.8,0.3806158595831597,581.3,528.4,0.6415232661917557,548.2,508.3,0.45930518208781024,0,465.1333309749088,453.9403506625723,560.4569502267061,526.2756685250466
495.3,436.0,0.22996357416906513,477.8,419.8,0.5490126506520829,581.3,528.4,0.5253112303084089,548.2,508.3,0.5214345185969557,0,465.1961184097499,453.3427633811699,558.9884732109839,526.3520473715239
495.3,436.0,0.2050266097648406,477.8,419.8,0.6522998204926919,581.3,528.4,0.5646275349605883,547.3,508.3,0.5206969034598274,0,465.1371059952982,452.3010733710898,558.3495077486252,526.1730829702294
495.3,427.6,1.385316849581396,477.8,407.2,2.319540681623619,582.3,520.6,2.2486289261343857,547.1,508.1,0.18933511474688536,0,463.6429742936665,450.22915767567406,557.2332664898838,525.7937805226769
495.3,426.1,1.4459119576589063,475.0,405.3,2.3109037549758247,582.3,518.6,2.233690474093969,547.1,506.0,0.6261980772424124,0,462.3567335111082,446.5014149247299,554.581206928724,524.1042571818164
494.2,426.1,1.3303976048822186,475.0,405.3,2.089460566909789,582.3,516.3,2.0200516051049147,547.1,506.0,0.6385223848906296,0,461.73661502108064,444.6486878963895,553.2038311829916,523.0426330619615
494.2,426.1,1.1553842317957026,475.0,405.3,2.0192648066328722,582.3,516.3,1.516307794455469,547.0,506.0,0.5707322863740414,0,461.30051194597075,443.59844869141784,551.8429164181786,522.3146101861446
493.7,426.1,0.8595289694291408,472.0,405.3,0.7441814947023649,574.8,516.3,0.8046606780373523,544.1,506.0,0.5004426811896873,0,462.9093129034281,444.8178589997125,551.3230652188893,522.213298000773
494.6,431.6,0.3714958642464867,475.9,409.1,0.5479563728069257,575.0,516.3,0.7578000533039397,546.1,507.7,0.26693251465822243,0,464.19395385686266,448.2307248349735,552.7254686685524,523.9393432084568
495.3,434.9,0.1263394593327236,478.9,415.8,0.5031496583216309,578.2,522.0,0.35281849476699356,546.2,508.7,0.2883543722205388,0,464.7263761717423,450.68537655809695,554.2733417752471,524.9858036278499
495.3,435.9,0.12086627065772511,478.9,417.7,0.4706933683704517,578.2,524.7,0.3326620484101392,546.2,508.7,0.28339419823848544,0,464.9678045052838,451.7543776404832,555.1183830932605,525.4127118539853
495.8,436.1,0.1829856757692481,479.5,420.1,0.5501595255627858,578.2,524.9,0.29567693664795774,546.2,509.0,0.30174662976593275,0,465.40998691570724,453.43548513233986,556.2350769043353,525.5813600624543
495.8,436.1,0.307099498059881,479.5,420.1,0.8542598461328874,579.1,525.3,0.47117160516018164,546.2,509.0,0.3037205912220734,1,465.43674961128045,453.58293533792545,557.6046027226724,525.3493984562174
495.9,436.1,0.30490276342455425,479.5,420.1,0.7546240677400419,579.1,525.3,0.48469396052880614,545.7,509.6,0.10705530409295246,0,465.73429946679386,453.61777293097373,557.9619924687233,525.4119146662794
495.9,436.1,0.32702927188402686,479.5,420.1,0.75250806418531,579.1,525.3,0.42808989886151294,545.7,508.6,0.19793073428169963,0,466.2756267731428,454.8179917516024,558.5485123988651,525.3618196385415
495.9,437.4,0.3221058725702682,478.1,402.8,2.5536106784484467,579.5,504.2,3.834194565534534,549.7,508.6,0.7453590281642816,0,464.41400135123763,450.92029914912916,555.7353544847349,525.9999828955757
495.9,434.6,0.3244633074895791,478.1,402.8,2.313859748607295,579.5,504.2,3.633546719804639,549.7,492.2,1.3293131061114758,0,463.4080543616401,448.4185522751142,554.7762675876035,523.5082572992744
495.7,431.7,0.3142037896244059,478.1,402.8,2.0895015142889477,579.5,504.2,3.533241949692146,549.7,492.2,1.3245635303459589,0,462.12834413491703,447.120546985986,554.4552360463385,523.095955507206
494.7,431.7,0.36607266017234746,476.5,402.8,1.9677645419583434,580.0,504.2,3.491699090476559,549.9,492.2,1.3536651012501932,0,461.19561923339467,446.6002342530998,555.0140609691534,523.628930861193
492.8,431.7,0.38328034020472007,476.5,409.5,0.80859286658632,580.0,521.0,1.1883013995975562,549.9,492.2,0.6929346813862405,0,462.42690522681295,449.333646429159,557.7039964013682,522.8712400226198
