temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,temperature_1,temperature_2,temperature_3,temperature_4,temperature_1_lag1,temperature_1_lag2,temperature_2_lag1,temperature_2_lag2,temperature_3_lag1,temperature_3_lag2,temperature_4_lag1,temperature_4_lag2
494.5,436.9,0.2437817821742796,477.5,421.7,0.324701844245793,581.3,531.6,0.7092767365384479,548.2,508.3,0.4248102092540976,0,464.96973988836913,453.8454404056881,560.9726763066179,526.4247784459905,465.626213592233,465.33223684210526,454.6595469255664,454.497697368421,561.0155339805825,561.814802631579,527.5158576051781,525.3526315789474
495.1,436.0,0.2597237865137449,477.8,419.8,0.4578228877675818,581.3,528.4,0.6269350962048397,548.2,508.3,0.5485394763977204,0,465.0670290191767,453.75456842728937,560.0043327584152,526.5833475070798,463.95076923076925,465.626213592233,452.379076923077,454.6595469255664,560.0876923076924,561.0155339805825,526.4058461538461,527.5158576051781
495.3,436.0,0.0190415954519345,477.8,419.8,0.6230785998606296,581.3,528.4,0.3655345055891001,547.3,508.3,0.6372723462357505,0,465.0527533489222,452.9038355330377,558.3127862877844,525.9641106269725,465.6241042345277,463.95076923076925,454.2250814332248,452.379076923077,558.9097719869707,560.0876923076924,525.828338762215,526.4058461538461
495.3,436.0,0.241819645764767,477.8,419.8,0.7140585919091239,579.1,528.4,0.512009344103445,547.1,510.3,0.1904656970393059,0,465.5325515834745,452.27507218709405,557.7701128956028,526.0954952423571,465.5833865814696,465.6241042345277,452.1073482428114,454.2250814332248,555.94089456869,558.9097719869707,525.6581469648562,525.828338762215
495.3,427.6,1.6350019851643116,475.0,407.2,2.830232378399661,582.3,520.6,2.7083120932489484,547.1,508.1,0.1979930680590102,0,462.9825976467128,448.89718308982384,556.6744313241883,525.7822611094974,465.3901639344263,465.5833865814696,450.492786885246,452.1073482428114,558.4596721311476,555.94089456869,526.8,525.6581469648562
494.2,426.1,1.5714973683800977,475.0,405.3,2.5173166452720106,582.3,518.6,2.474022186472572,547.1,506.0,0.7645575052015406,0,461.2811824876544,444.63277048536935,554.1279777154019,523.5862939208031,457.9742424242424,465.3901639344263,444.0914141414142,450.492786885246,555.6227272727272,558.4596721311476,524.8886363636364,526.8
494.2,426.1,0.9901349266396188,475.0,405.3,1.9464151992562768,582.3,516.3,1.4252687420995176,547.0,506.0,0.6618824765379602,0,460.5187653832988,442.700654900104,551.451884200273,521.7901774159487,460.4791411042945,457.9742424242424,439.3141104294479,444.0914141414142,548.3015337423312,555.6227272727272,519.070245398773,524.8886363636364
492.9,426.1,0.916050667384506,469.0,405.3,0.799950546085971,574.8,516.3,0.647474264509538,544.1,506.0,0.510185392815618,0,462.4092684532136,443.4341268747524,550.5829794666624,521.4566014603139,463.1029126213593,460.4791411042945,444.69644012944985,439.3141104294479,550.4313915857605,548.3015337423312,521.4116504854369,519.070245398773
493.7,431.6,0.3587409787645905,472.0,409.1,0.6710943638968258,574.8,516.3,0.8218927760871909,544.1,507.7,0.2577771845106281,0,463.7193701698059,446.6524418564674,552.330242377742,523.2609822014396,463.6457516339868,463.1029126213593,446.2918300653594,444.69644012944985,553.0160130718955,550.4313915857605,523.887908496732,521.4116504854369
494.6,434.9,0.1466265859056949,475.9,415.8,0.2462451651418864,575.0,522.0,0.2736568641197405,546.1,508.7,0.1129712040456696,0,464.5576342686971,449.4088197368147,553.490161029483,524.7819074494633,464.4094462540717,463.6457516339868,448.9690553745928,446.2918300653594,553.54332247557,553.0160130718955,524.4833876221498,523.887908496732
495.3,435.9,0.1370974713762035,478.9,417.7,0.4882290662289399,578.2,524.7,0.4065485471650237,546.2,508.7,0.2941972784254236,0,465.0865843509941,452.14989205567616,554.6924513430309,525.3517686715559,465.61770491803287,464.4094462540717,452.9655737704918,448.9690553745928,553.9111475409836,553.54332247557,525.9744262295083,524.4833876221498
