timestamp,part_id,temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,original_row,temperature_1,temperature_2,temperature_3,temperature_4
2024-02-15 05:49:37+05:30,2124077390649042,494.2,436.9,17.794520616103206,477.5,421.7,17.61024195583625,580.2,533.1,15.990614345785364,545.0,509.0,11.474971745075738,0,303,465.33223684210526,454.49769736842103,561.814802631579,525.3526315789474
2024-02-15 05:54:46+05:30,2124077390829042,494.5,439.6,17.757540713032576,477.5,425.1,17.242911618771302,580.3,533.6,16.05654430613412,548.2,512.0,11.595939769957806,0,612,465.626213592233,454.6595469255664,561.0155339805825,527.5158576051781
2024-02-15 06:00:11+05:30,2124077390979042,494.2,437.7,18.19705683600723,476.4,422.2,17.890360336573984,581.3,531.6,17.250755106860833,547.3,508.3,12.263752533822027,0,937,463.95076923076925,452.379076923077,560.0876923076924,526.4058461538461
2024-02-15 06:05:18+05:30,2124077391129042,495.1,436.0,18.21706641011134,477.8,419.8,18.12736140785509,579.1,528.4,16.98461536503453,545.4,510.3,11.176051580527748,0,1244,465.6241042345277,454.2250814332248,558.9097719869707,525.828338762215
2024-02-15 06:15:43+05:30,2124077391439042,495.3,438.0,18.235123336837926,474.8,424.0,16.949354527744834,576.8,529.0,16.528004260593825,545.5,510.3,11.144551636142202,0,1557,465.5833865814696,452.10734824281144,555.94089456869,525.6581469648562
2024-02-15 06:25:55+05:30,2124077391769042,494.2,438.9,17.807542984479632,473.0,421.6,16.83916996672486,578.2,530.4,15.962527456104354,547.1,511.2,11.48906803054653,0,1862,465.39016393442625,450.49278688524595,558.4596721311476,526.8
2024-02-15 06:32:31+05:30,2124077391929042,494.2,427.6,20.828925680270842,475.0,407.2,21.795439704653628,582.3,520.6,20.910567581818192,547.0,508.1,11.485881136315157,0,2258,457.9742424242424,444.0914141414142,555.6227272727272,524.8886363636364
2024-02-15 06:37:57+05:30,2124077392129042,492.2,426.1,20.068065573826814,464.8,405.3,18.551020298875915,572.3,518.6,18.430932964668088,538.6,506.0,10.163225015162503,0,2584,460.4791411042945,439.31411042944785,548.3015337423312,519.070245398773
2024-02-15 06:43:06+05:30,2124077392289042,492.8,431.6,18.865169873240905,469.0,409.1,18.31019392502141,573.5,516.3,18.45307540461401,541.4,507.7,10.777640101764266,0,2893,463.1029126213593,444.69644012944985,550.4313915857605,521.4116504854369
2024-02-15 06:48:12+05:30,2124077392449042,492.9,434.9,18.26986046920834,469.0,415.8,17.06083902143414,574.8,522.0,17.320709819243884,544.1,509.8,11.175938037637284,0,3199,463.64575163398683,446.2918300653594,553.0160130718955,523.887908496732
2024-02-15 06:53:19+05:30,2124077392629042,493.7,435.9,18.220686244175965,472.0,417.7,17.26073749608308,574.8,524.7,16.854984504607877,543.9,508.7,11.260278569104457,0,3506,464.4094462540717,448.9690553745928,553.54332247557,524.4833876221498
2024-02-15 06:58:24+05:30,2124077392779042,494.6,437.1,17.99490465102503,475.9,420.1,17.550583710171317,575.0,524.9,16.838870885305106,546.1,510.7,11.399636496482742,0,3811,465.61770491803287,452.9655737704918,553.9111475409836,525.9744262295083
2024-02-15 07:03:43+05:30,2124077392919042,495.3,438.7,18.24253279995283,478.9,423.6,18.213184437119974,578.2,525.3,17.550952145569322,546.2,509.0,11.825023833359896,0,4130,465.2326018808778,454.51504702194364,556.6228840125392,525.5974921630094
2024-02-15 07:08:57+05:30,2124077393099042,494.2,437.0,18.243881965111367,473.6,422.2,17.174273531462976,577.8,526.7,17.125247640663023,545.6,510.1,11.194241125261012,0,4444,464.61146496815286,450.5678343949044,556.396178343949,525.5955414012739
2024-02-15 07:19:17+05:30,2124077393449042,495.8,436.1,18.4417404310391,479.5,420.1,18.333713629806475,578.2,525.3,17.25739764622208,544.7,509.6,11.175996679959532,0,4751,466.1781758957655,455.69348534201964,558.0100977198696,525.157980456026
2024-02-15 07:24:24+05:30,2124077393609042,494.6,439.1,17.72440360609509,475.9,425.9,16.552283833487138,579.1,530.2,16.438613729031758,544.8,509.6,11.329267423604161,1,5058,465.7247557003257,453.55537459283386,559.3892508143323,525.0465798045603
2024-02-15 07:29:31+05:30,2124077393759042,495.9,438.8,18.06033283725459,477.0,424.2,17.04040772122587,578.2,530.9,16.288919774219398,545.7,510.0,11.397945243637944,0,5365,466.42280130293153,454.65439739413677,558.0524429967427,525.8475570032574
2024-02-15 07:34:41+05:30,2124077393919042,495.7,439.4,17.785173707332156,478.1,425.2,17.235716518207838,578.7,529.3,16.570761908386995,545.2,508.6,11.650748651853174,0,5675,466.77677419354836,455.3687096774193,558.7422580645161,525.3951612903226
2024-02-15 07:42:03+05:30,2124077394069042,494.7,437.4,18.430712104110192,472.9,402.8,22.0175706345798,579.5,504.2,24.09769610848599,549.7,512.8,9.994463322432917,0,6117,458.73167420814485,440.10271493212673,546.7574660633485,527.7106334841629
2024-02-15 07:52:16+05:30,2124077394399042,491.6,434.6,18.467942110366177,467.8,409.5,18.288891193274804,577.4,521.0,18.282532062026274,539.7,492.2,13.238167088263014,0,6427,461.7009677419355,443.5483870967742,555.5529032258064,515.0796774193549
2024-02-15 07:57:19+05:30,2124077394559042,490.4,431.7,18.184544711994644,473.7,414.3,18.387478741449247,577.2,527.0,16.747981576675524,544.9,508.8,11.57869263327053,0,6730,461.30396039603954,449.4623762376237,556.7683168316831,524.1983498349836
