temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,temperature_1,temperature_2,temperature_3,temperature_4
494.5,436.9,0.24378178217427965,477.5,421.7,0.32470184424579307,581.3,531.6,0.7092767365384479,548.2,508.3,0.4248102092540976,0,464.96973988836913,453.8454404056881,560.9726763066179,526.4247784459905
495.1,436.0,0.25972378651374495,477.8,419.8,0.45782288776758184,581.3,528.4,0.6269350962048397,548.2,508.3,0.5485394763977204,0,465.0670290191767,453.75456842728937,560.0043327584152,526.5833475070798
495.3,436.0,0.01904159545193455,477.8,419.8,0.6230785998606296,581.3,528.4,0.36553450558910017,547.3,508.3,0.6372723462357505,0,465.0527533489222,452.9038355330377,558.3127862877844,525.9641106269725
495.3,436.0,0.24181964576476705,477.8,419.8,0.7140585919091239,579.1,528.4,0.512009344103445,547.1,510.3,0.19046569703930596,0,465.5325515834745,452.27507218709405,557.7701128956028,526.0954952423571
495.3,427.6,1.6350019851643116,475.0,407.2,2.8302323783996606,582.3,520.6,2.7083120932489484,547.1,508.1,0.1979930680590102,0,462.98259764671275,448.89718308982384,556.6744313241883,525.7822611094974
494.2,426.1,1.5714973683800975,475.0,405.3,2.5173166452720106,582.3,518.6,2.4740221864725718,547.1,506.0,0.7645575052015406,0,461.2811824876544,444.63277048536935,554.1279777154019,523.5862939208031
494.2,426.1,0.9901349266396188,475.0,405.3,1.9464151992562768,582.3,516.3,1.4252687420995176,547.0,506.0,0.6618824765379602,0,460.5187653832988,442.700654900104,551.451884200273,521.7901774159487
492.9,426.1,0.916050667384506,469.0,405.3,0.799950546085971,574.8,516.3,0.647474264509538,544.1,506.0,0.510185392815618,0,462.40926845321354,443.4341268747524,550.5829794666624,521.4566014603139
493.7,431.6,0.35874097876459055,472.0,409.1,0.6710943638968258,574.8,516.3,0.8218927760871909,544.1,507.7,0.2577771845106281,0,463.7193701698059,446.6524418564674,552.330242377742,523.2609822014396
494.6,434.9,0.14662658590569497,475.9,415.8,0.2462451651418864,575.0,522.0,0.27365686411974055,546.1,508.7,0.11297120404566964,0,464.5576342686971,449.4088197368147,553.490161029483,524.7819074494633
495.3,435.9,0.13709747137620354,478.9,417.7,0.4882290662289399,578.2,524.7,0.40654854716502375,546.2,508.7,0.2941972784254236,0,465.08658435099414,452.14989205567616,554.6924513430309,525.3517686715559
495.3,437.0,0.14335923602247078,478.9,420.1,0.5259887425673392,578.2,524.9,0.35830519875433975,546.2,509.0,0.3217215332476499,0,465.1539239223545,452.68281839578,555.6434032991573,525.7224865979305
495.8,436.1,0.11462509401588651,479.5,420.1,0.6374643124428586,578.2,525.3,0.2178922491943308,546.2,509.0,0.3695618871203896,0,465.3407475815987,453.59212225295596,557.0097200254526,525.4503380067698
495.8,436.1,0.3704901839559476,479.5,420.1,0.9041261568727758,579.1,525.3,0.43957116519414724,545.6,509.6,0.08372263919831613,1,465.504798854748,453.2722314432527,557.9318422927169,525.2667005539533
495.9,436.1,0.3589086052104479,479.5,420.1,0.9205430663621913,579.1,525.3,0.5213387848791707,545.7,509.6,0.1136293160096167,0,466.1085776330076,454.63441910966344,558.4839305103148,525.3507057546145
495.9,438.8,0.1790037245103428,478.1,424.2,0.3520157881175833,579.1,529.3,0.1410120621356052,545.7,508.6,0.16930071189372106,0,466.30811039893524,454.52616055479666,558.7279839585303,525.4297660327134
495.9,437.4,0.3239375376547464,478.1,402.8,2.818877583439546,579.5,504.2,4.429280627818587,549.7,508.6,0.8922772512703443,0,463.97708323487495,450.04194066789427,554.5173890415358,526.3177839259142
495.7,434.6,0.3839007222495173,478.1,402.8,2.512580216380379,579.5,504.2,3.9454832487868936,549.7,492.2,1.6219737207677458,0,462.4031387145429,446.3399372354401,553.6842091178904,522.7284907312801
494.7,431.7,0.15400137646059364,473.7,402.8,2.1248661539509484,579.5,504.2,3.87705390252345,549.7,492.2,1.6219973333593978,0,460.57886744870666,444.3711594221749,553.026228706946,522.3295535795005
491.8,431.7,0.4026382835640172,476.5,409.5,0.36733125986173093,580.0,521.0,0.8817871008026745,549.9,492.2,0.8416425936708005,0,462.0169342418112,448.76607402675745,557.7662592710884,522.2683633202031
492.8,431.7,0.2839507250996858,476.5,414.3,0.8882412477553063,580.0,527.0,0.797715473510474,549.9,506.7,0.3337218991468851,0,462.6688843884388,451.2620662066206,558.4210274598888,525.4684275570414
494.1,435.3,0.14451507657408041,478.5,420.6,0.6716416292054324,580.0,528.4,0.831237780653346,549.9,506.7,0.2629242896142649,0,463.9468405722151,453.15015570636007,559.558562200205,526.1769819980118
494.1,437.0,0.2572041184201495,481.0,421.6,0.649285957134965,581.2,528.4,0.7515474835043162,547.4,506.1,0.30860506145831335,0,464.44001809843684,454.5687769495919,559.9461732414393,525.0767558841952
494.3,437.4,0.25736588082135725,481.0,421.6,0.4935903068272931,581.2,528.4,0.5223100556264412,547.4,506.1,0.47620884455364665,0,464.9513619288982,456.21003264378874,561.2850996200717,525.6483895881819
494.3,438.1,0.15784526235870028,481.0,425.8,0.6658681845542052,581.2,532.7,0.24956090773366552,547.3,506.1,0.5475965168586671,1,464.8884254823899,455.5830682761704,561.4339429293252,525.1167468579904
494.3,438.7,0.3633146844944656,478.6,426.0,0.3557827283133994,580.6,533.2,0.3238564824063785,547.3,506.2,0.5157753270460962,0,464.69831708275296,454.0525618772099,560.0175284831602,525.1996460587878
