timestamp,part_id,temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,original_row
2024-02-15 15:57:25+05:30,2124077408149042,488.4,432.5,17.13706353970739,471.9,414.3,17.06665744140499,577.5,521.0,16.909616048774442,543.6,493.9,12.371802176520283,0,28986
2024-02-15 16:25:11+05:30,2124077408899042,487.6,419.7,18.37539818703457,476.4,393.2,20.785128444127057,577.6,481.5,23.025297923734485,551.2,497.9,14.212407122263835,0,30057
2024-02-15 16:59:20+05:30,2124077409889042,486.4,350.8,37.58643500064107,465.8,333.4,38.06528728257965,573.0,407.7,47.174785845541564,552.1,442.6,25.352940861997787,0,31508
2024-02-15 17:20:46+05:30,2124077410589042,487.7,418.5,18.489435054150967,467.3,392.7,19.70818497581955,568.1,497.0,19.683814379376937,540.4,493.5,12.222991663120233,0,32427
2024-02-15 17:41:05+05:30,2124077411049042,486.9,430.5,17.161409821154027,468.0,411.6,17.214060638461707,570.8,516.5,16.628793501377586,544.3,502.3,11.869172755279077,0,33646
2024-02-15 18:13:45+05:30,2124077412149042,487.1,426.6,17.987959391421573,467.7,398.7,19.206748410341,574.1,501.6,19.65377203168059,543.7,503.2,10.843043471812777,0,34648
2024-02-15 18:35:18+05:30,2124077412939042,488.8,428.3,18.18049650045998,464.7,396.0,19.139971599322443,569.9,498.5,19.981634570093043,543.4,493.6,11.435723833485808,0,35638
2024-02-16 12:29:48+05:30,2124077445349042,474.5,405.3,20.587130913583017,435.8,356.6,20.465058573774854,520.1,443.7,21.316806664287164,495.1,449.7,12.00781939828877,0,36633
2024-02-16 12:45:07+05:30,2124077445849042,488.2,413.4,20.13625773076405,436.5,369.1,19.42713169128901,531.6,464.7,19.154963843351982,510.5,468.1,12.41368759972342,0,37552
2024-02-16 13:01:16+05:30,2124077446369042,472.4,412.6,18.948330122421556,440.3,377.2,19.497146908710807,541.5,477.8,19.629628377351494,513.3,474.3,11.7890465339701,0,38521
2024-02-16 13:24:50+05:30,2124077446869042,473.8,375.7,27.506239501437015,440.4,329.6,31.64419672464487,542.9,429.0,31.473266046820353,515.0,458.4,12.978826586175268,0,39935
2024-02-16 14:02:00+05:30,2124077448359042,470.6,408.4,19.557568743732542,441.2,372.8,20.073626974271086,536.5,467.1,20.596784156798716,508.0,471.4,10.900996417867447,0,40921
2024-02-16 14:23:02+05:30,2124077449099042,471.1,411.1,18.652372716147966,444.4,383.0,18.51057549145291,543.0,484.2,18.484253159185183,516.8,474.0,11.778036938840405,0,41867
2024-02-16 14:40:53+05:30,2124077449679042,471.3,397.6,19.42658926031344,445.7,368.5,21.46185674813651,544.3,462.4,21.996223218079447,516.3,467.8,12.568253979340847,0,42938
2024-02-16 15:07:07+05:30,2124077450249042,482.5,411.7,19.122316875512375,444.9,372.7,19.075421100351868,540.8,477.5,18.503182557005193,513.9,470.3,11.883765498334997,0,44512
2024-02-16 15:22:22+05:30,2124077451209042,467.6,409.1,17.924241137923712,450.4,388.7,18.108009702258087,545.3,488.5,17.12605024352425,514.2,476.0,12.019974419930383,0,45427
2024-02-16 15:37:43+05:30,2124077451779042,470.1,413.0,17.824179839129727,454.6,395.6,17.772718542270336,548.0,496.6,16.38930276581076,518.9,476.6,12.129305712779638,0,46348
